Logo url,option A,option B,option C,option D,correct_answer
https://avatars.githubusercontent.com/numpy?s=200,Weights & Biases,Pachyderm,NumPy,Google DeepMind,C
https://avatars.githubusercontent.com/scipy?s=200,DVC,Chroma,Meta (LLaMA),SciPy,D
https://avatars.githubusercontent.com/explosion?s=200,spaCy,Pachyderm,Dask,XAI,A
https://avatars.githubusercontent.com/nltk?s=200,Ray,NLTK,Ray,Together AI,B
https://avatars.githubusercontent.com/facebookresearch?s=200,Dask,Airflow,Facebook AI Research,Modal,C
https://avatars.githubusercontent.com/openai?s=200,Prefect,Airflow,Steamship,OpenAI,D
https://avatars.githubusercontent.com/keras-team?s=200,Keras,Dagster,Baseten,LangChain,A
https://avatars.githubusercontent.com/plotly?s=200,BentoML,Plotly,BentoML,LlamaIndex,B
https://avatars.githubusercontent.com/matplotlib?s=200,BaseTen,BentoML,Matplotlib,Open Interpreter,C
https://avatars.githubusercontent.com/jupyter?s=200,Replicate,Paperspace,Continue,Jupyter,D
https://avatars.githubusercontent.com/great-expectations?s=200,Great Expectations,TorchVision,Modal,FastText,A
https://avatars.githubusercontent.com/superwise-ai?s=200,Gensim,Superwise,LangChain,GPT Engineer,B
https://avatars.githubusercontent.com/arize-ai?s=200,Word2Vec,LlamaIndex,Arize AI,FastText,C
https://avatars.githubusercontent.com/h2oai?s=200,FastText,Open Interpreter,Together AI,H2O AI,D
https://avatars.githubusercontent.com/catboost?s=200,CatBoost,Librosa,Continue,Steamship,A
https://avatars.githubusercontent.com/autogluon?s=200,TensorBoard,AutoGluon,Paperspace,LlamaIndex,B
https://avatars.githubusercontent.com/optuna?s=200,Hyperband,TorchVision,Optuna,Open Interpreter,C
https://avatars.githubusercontent.com/ray-project?s=200,Neptune AI,TorchText,GPT Engineer,Ray Tune,D
https://avatars.githubusercontent.com/onnx?s=200,ONNX,Aim,Word2Vec,Cerebras,A
https://avatars.githubusercontent.com/opencv?s=200,Continue,OpenCV,Neptune AI,Together AI,B
https://avatars.githubusercontent.com/gensim?s=200,Superwise,Dagster,Gensim,Qdrant,C
https://avatars.githubusercontent.com/pyannote?s=200,XGBoost,Seldon,Kaggle,Pyannote,D
https://avatars.githubusercontent.com/librosa?s=200,Librosa,CatBoost,Replicate,Google Cloud (Vertex AI),A
https://avatars.githubusercontent.com/espnet?s=200,LightGBM,ESPnet,Runpod,AWS SageMaker,B
https://avatars.githubusercontent.com/optuna?s=200,Optuna,Graphcore,Hyperband,Clarifai,C
https://avatars.githubusercontent.com/neptune-ai?s=200,Ray Tune,Weights & Biases,Timm,Neptune AI,D
https://avatars.githubusercontent.com/comet-ml?s=200,Comet ML,Hyperopt,DVC,Intel AI,A
